,obj,x,y,height,width,frame
16209,2087,135,261,34,92,2876
16210,2087,135,261,34,92,2877
16211,2087,169,250,33,85,2878
16212,2087,169,250,33,85,2879
56112,11523,78,264,64,119,10132
56113,11523,78,264,64,119,10133
56114,11523,118,254,58,107,10134
56115,11523,118,254,58,107,10135
56666,11622,534,115,22,30,10191
56667,11622,534,115,22,30,10192
56668,11622,539,115,20,29,10193
56669,11622,539,115,20,29,10194
59080,12224,154,224,72,109,10470
59081,12224,182,218,67,102,10471
59082,12224,182,218,67,102,10472
59083,12224,215,201,67,109,10475
59084,12224,215,201,67,109,10476
59085,12224,244,195,59,98,10477
59086,12224,244,195,59,98,10478
59087,12224,255,181,58,120,10481
59088,12224,253,181,57,123,10482
59247,12259,377,160,45,59,10491
59248,12259,377,160,45,59,10492
59249,12259,369,155,45,78,10493
59250,12259,370,155,45,77,10494
59325,12274,425,145,42,51,10499
59326,12274,425,145,42,51,10500
59327,12274,433,141,42,49,10501
59328,12274,433,141,42,49,10502
59329,12274,405,133,66,102,10507
59330,12274,405,133,66,102,10508
59331,12274,401,132,65,112,10509
59332,12274,401,132,65,113,10510
59333,12274,414,131,65,109,10511
59334,12274,414,131,65,109,10512
59335,12274,427,130,56,83,10513
59336,12274,427,130,56,83,10514
59337,12274,439,130,51,75,10515
59338,12274,439,130,51,75,10516
59339,12274,447,121,58,86,10517
59340,12274,447,121,58,86,10518
59341,12274,458,130,44,63,10519
59342,12274,458,130,44,63,10520
59597,12328,521,112,36,35,10523
59598,12328,521,112,35,35,10524
59599,12328,527,111,32,33,10525
59600,12328,527,111,32,33,10526
59601,12328,527,109,36,39,10527
59602,12328,531,108,33,35,10528
59603,12328,535,106,34,35,10529
59604,12328,535,106,34,35,10530
59605,12328,536,104,32,38,10531
59606,12328,536,105,31,38,10532
59607,12328,541,103,30,38,10533
59608,12328,541,103,30,38,10534
59609,12328,543,101,32,42,10535
59610,12328,542,101,32,43,10536
59611,12328,549,101,34,38,10537
59612,12328,549,102,33,38,10538
