,obj,x,y,height,width,frame
655008,4447,48,167,32,54,7648
655009,4447,48,167,32,54,7649
655010,4447,44,167,33,62,7650
655011,4447,44,167,33,62,7651
655012,4447,44,167,33,62,7652
655013,4447,39,169,34,60,7653
655014,4447,39,169,34,60,7654
655015,4447,36,171,34,61,7655
655016,4447,36,171,34,61,7656
655017,4447,30,173,33,64,7657
655018,4447,30,173,33,64,7658
655019,4447,26,175,32,64,7659
655020,4447,26,175,32,64,7660
655021,4447,23,174,35,61,7661
655022,4447,23,174,36,61,7662
655023,4447,18,176,35,61,7663
655024,4447,18,176,35,61,7664
655025,4447,12,177,34,67,7665
655026,4447,12,177,34,67,7666
655027,4447,9,181,33,63,7667
655028,4447,9,181,33,63,7668
655029,4447,4,182,34,67,7669
655030,4447,4,182,34,67,7670
655031,4447,0,184,33,65,7671
655032,4447,0,184,33,65,7672
655033,4447,48,167,32,54,7648
655034,4447,48,167,32,54,7649
655035,4447,44,167,33,62,7650
655036,4447,44,167,33,62,7651
655037,4447,44,167,33,62,7652
655038,4447,39,169,34,60,7653
655039,4447,39,169,34,60,7654
655040,4447,36,171,34,61,7655
655041,4447,36,171,34,61,7656
655042,4447,30,173,33,64,7657
655043,4447,30,173,33,64,7658
655044,4447,26,175,32,64,7659
655045,4447,26,175,32,64,7660
655046,4447,23,174,35,61,7661
655047,4447,23,174,36,61,7662
655048,4447,18,176,35,61,7663
655049,4447,18,176,35,61,7664
655050,4447,12,177,34,67,7665
655051,4447,12,177,34,67,7666
655052,4447,9,181,33,63,7667
655053,4447,9,181,33,63,7668
655054,4447,4,182,34,67,7669
655055,4447,4,182,34,67,7670
655056,4447,0,184,33,65,7671
655057,4447,0,184,33,65,7672
655058,4447,48,167,32,54,7648
655059,4447,48,167,32,54,7649
655060,4447,44,167,33,62,7650
655061,4447,44,167,33,62,7651
655062,4447,44,167,33,62,7652
655063,4447,39,169,34,60,7653
655064,4447,39,169,34,60,7654
655065,4447,36,171,34,61,7655
655066,4447,36,171,34,61,7656
655067,4447,30,173,33,64,7657
655068,4447,30,173,33,64,7658
655069,4447,26,175,32,64,7659
655070,4447,26,175,32,64,7660
655071,4447,23,174,35,61,7661
655072,4447,23,174,36,61,7662
655073,4447,18,176,35,61,7663
655074,4447,18,176,35,61,7664
655075,4447,12,177,34,67,7665
655076,4447,12,177,34,67,7666
655077,4447,9,181,33,63,7667
655078,4447,9,181,33,63,7668
655079,4447,4,182,34,67,7669
655080,4447,4,182,34,67,7670
655081,4447,0,184,33,65,7671
655082,4447,0,184,33,65,7672
655083,4447,48,167,32,54,7648
655084,4447,48,167,32,54,7649
655085,4447,44,167,33,62,7650
655086,4447,44,167,33,62,7651
655087,4447,44,167,33,62,7652
655088,4447,39,169,34,60,7653
655089,4447,39,169,34,60,7654
655090,4447,36,171,34,61,7655
655091,4447,36,171,34,61,7656
655092,4447,30,173,33,64,7657
655093,4447,30,173,33,64,7658
655094,4447,26,175,32,64,7659
655095,4447,26,175,32,64,7660
655096,4447,23,174,35,61,7661
655097,4447,23,174,36,61,7662
655098,4447,18,176,35,61,7663
655099,4447,18,176,35,61,7664
655100,4447,12,177,34,67,7665
655101,4447,12,177,34,67,7666
655102,4447,9,181,33,63,7667
655103,4447,9,181,33,63,7668
655104,4447,4,182,34,67,7669
655105,4447,4,182,34,67,7670
655106,4447,0,184,33,65,7671
655107,4447,0,184,33,65,7672
655108,4447,48,167,32,54,7648
655109,4447,48,167,32,54,7649
655110,4447,44,167,33,62,7650
655111,4447,44,167,33,62,7651
655112,4447,44,167,33,62,7652
655113,4447,39,169,34,60,7653
655114,4447,39,169,34,60,7654
655115,4447,36,171,34,61,7655
655116,4447,36,171,34,61,7656
655117,4447,30,173,33,64,7657
655118,4447,30,173,33,64,7658
655119,4447,26,175,32,64,7659
655120,4447,26,175,32,64,7660
655121,4447,23,174,35,61,7661
655122,4447,23,174,36,61,7662
655123,4447,18,176,35,61,7663
655124,4447,18,176,35,61,7664
655125,4447,12,177,34,67,7665
655126,4447,12,177,34,67,7666
655127,4447,9,181,33,63,7667
655128,4447,9,181,33,63,7668
655129,4447,4,182,34,67,7669
655130,4447,4,182,34,67,7670
655131,4447,0,184,33,65,7671
655132,4447,0,184,33,65,7672
655133,4447,48,167,32,54,7648
655134,4447,48,167,32,54,7649
655135,4447,44,167,33,62,7650
