,obj,x,y,height,width,frame
33537,2413,383,78,17,27,11217
33538,2413,383,78,17,27,11218
33539,2413,378,77,17,25,11219
33540,2413,378,77,17,25,11220
33541,2413,372,76,16,25,11221
33542,2413,372,76,16,25,11222
33543,2413,366,75,16,25,11223
33544,2413,366,75,16,25,11224
33545,2413,360,74,16,25,11225
33546,2413,360,74,16,25,11226
33547,2413,355,72,16,25,11227
33548,2413,355,72,16,25,11228
33549,2413,383,78,17,27,11217
33550,2413,383,78,17,27,11218
33551,2413,378,77,17,25,11219
33552,2413,378,77,17,25,11220
33553,2413,372,76,16,25,11221
33554,2413,372,76,16,25,11222
33555,2413,366,75,16,25,11223
33556,2413,366,75,16,25,11224
33557,2413,360,74,16,25,11225
33558,2413,360,74,16,25,11226
33559,2413,355,72,16,25,11227
33560,2413,355,72,16,25,11228
33561,2413,383,78,17,27,11217
33562,2413,383,78,17,27,11218
33563,2413,378,77,17,25,11219
33564,2413,378,77,17,25,11220
33565,2413,372,76,16,25,11221
33566,2413,372,76,16,25,11222
33567,2413,366,75,16,25,11223
33568,2413,366,75,16,25,11224
33569,2413,360,74,16,25,11225
33570,2413,360,74,16,25,11226
33571,2413,355,72,16,25,11227
33572,2413,355,72,16,25,11228
33573,2413,383,78,17,27,11217
33574,2413,383,78,17,27,11218
33575,2413,378,77,17,25,11219
33576,2413,378,77,17,25,11220
33577,2413,372,76,16,25,11221
33578,2413,372,76,16,25,11222
33579,2413,366,75,16,25,11223
33580,2413,366,75,16,25,11224
33581,2413,360,74,16,25,11225
33582,2413,360,74,16,25,11226
33583,2413,355,72,16,25,11227
33584,2413,355,72,16,25,11228
33585,2413,383,78,17,27,11217
33586,2413,383,78,17,27,11218
33587,2413,378,77,17,25,11219
33588,2413,378,77,17,25,11220
33589,2413,372,76,16,25,11221
33590,2413,372,76,16,25,11222
33591,2413,366,75,16,25,11223
33592,2413,366,75,16,25,11224
33593,2413,360,74,16,25,11225
33594,2413,360,74,16,25,11226
33595,2413,355,72,16,25,11227
33596,2413,355,72,16,25,11228
33597,2413,383,78,17,27,11217
33598,2413,383,78,17,27,11218
33599,2413,378,77,17,25,11219
33600,2413,378,77,17,25,11220
33601,2413,372,76,16,25,11221
33602,2413,372,76,16,25,11222
33603,2413,366,75,16,25,11223
33604,2413,366,75,16,25,11224
33605,2413,360,74,16,25,11225
33606,2413,360,74,16,25,11226
33607,2413,355,72,16,25,11227
33608,2413,355,72,16,25,11228
33609,2413,383,78,17,27,11217
33610,2413,383,78,17,27,11218
33611,2413,378,77,17,25,11219
33612,2413,378,77,17,25,11220
33613,2413,372,76,16,25,11221
33614,2413,372,76,16,25,11222
33615,2413,366,75,16,25,11223
33616,2413,366,75,16,25,11224
33617,2413,360,74,16,25,11225
33618,2413,360,74,16,25,11226
33619,2413,355,72,16,25,11227
33620,2413,355,72,16,25,11228
33621,2413,383,78,17,27,11217
33622,2413,383,78,17,27,11218
33623,2413,378,77,17,25,11219
33624,2413,378,77,17,25,11220
33625,2413,372,76,16,25,11221
33626,2413,372,76,16,25,11222
33627,2413,366,75,16,25,11223
33628,2413,366,75,16,25,11224
33629,2413,360,74,16,25,11225
33630,2413,360,74,16,25,11226
33631,2413,355,72,16,25,11227
33632,2413,355,72,16,25,11228
33633,2413,383,78,17,27,11217
33634,2413,383,78,17,27,11218
33635,2413,378,77,17,25,11219
33636,2413,378,77,17,25,11220
33637,2413,372,76,16,25,11221
33638,2413,372,76,16,25,11222
33639,2413,366,75,16,25,11223
33640,2413,366,75,16,25,11224
33641,2413,360,74,16,25,11225
33642,2413,360,74,16,25,11226
33643,2413,355,72,16,25,11227
33644,2413,355,72,16,25,11228
33645,2413,383,78,17,27,11217
33646,2413,383,78,17,27,11218
33647,2413,378,77,17,25,11219
33648,2413,378,77,17,25,11220
33649,2413,372,76,16,25,11221
33650,2413,372,76,16,25,11222
33651,2413,366,75,16,25,11223
33652,2413,366,75,16,25,11224
33653,2413,360,74,16,25,11225
33654,2413,360,74,16,25,11226
33655,2413,355,72,16,25,11227
33656,2413,355,72,16,25,11228
33657,2413,355,72,16,25,11227
33658,2413,355,72,16,25,11228
33659,2413,355,72,16,25,11227
33660,2413,355,72,16,25,11228
33661,2413,355,72,16,25,11227
33662,2413,355,72,16,25,11228
33663,2413,355,72,16,25,11227
33664,2413,355,72,16,25,11228
33665,2413,355,72,16,25,11227
33666,2413,355,72,16,25,11228
