,obj,x,y,height,width,frame
38207,2890,143,99,18,18,12977
38208,2890,143,99,18,18,12978
38209,2890,143,100,17,19,12979
38210,2890,143,100,17,19,12980
38211,2890,144,100,17,18,12981
38212,2890,144,100,17,18,12982
38213,2890,144,100,18,18,12983
38214,2890,144,100,18,18,12984
38215,2890,144,100,19,18,12985
38216,2890,144,100,19,18,12986
38217,2890,143,102,18,19,12987
38218,2890,143,102,18,19,12988
38219,2890,141,102,18,21,12989
38220,2890,141,101,19,21,12990
38221,2890,143,102,19,20,12991
38222,2890,142,102,19,21,12992
38223,2890,141,101,21,22,12993
38224,2890,141,102,20,22,12994
38225,2890,143,102,20,20,12995
38226,2890,143,102,20,20,12996
38227,2890,143,100,23,20,12997
38228,2890,143,100,23,20,12998
38229,2890,142,101,23,22,12999
38230,2890,142,101,23,22,13000
38231,2890,142,101,24,24,13001
38232,2890,142,101,24,24,13002
38233,2890,142,103,22,23,13003
38234,2890,142,103,22,23,13004
38235,2890,145,111,19,21,13015
38236,2890,145,111,19,21,13016
38237,2890,145,112,19,21,13017
38238,2890,145,112,19,21,13018
38239,2890,145,112,20,21,13019
38240,2890,145,112,20,21,13020
38241,2890,146,113,19,21,13021
38242,2890,146,113,19,21,13022
38243,2890,146,113,20,21,13023
38244,2890,146,112,21,21,13024
38245,2890,146,114,20,21,13025
38246,2890,146,114,20,21,13026
38247,2890,148,115,20,19,13027
38248,2890,148,115,20,19,13028
38249,2890,148,116,20,19,13029
38250,2890,148,116,20,19,13030
38251,2890,148,116,20,20,13031
38252,2890,148,116,20,20,13032
38253,2890,148,117,20,20,13033
38254,2890,148,117,20,20,13034
38255,2890,149,118,20,20,13035
38256,2890,148,118,20,21,13036
38257,2890,149,118,21,20,13037
38258,2890,149,118,21,20,13038
38259,2890,149,119,21,21,13039
38260,2890,149,119,21,21,13040
38261,2890,150,122,22,21,13045
38262,2890,150,122,22,21,13046
38263,2890,150,123,21,22,13047
38264,2890,150,123,21,22,13048
38265,2890,151,124,21,22,13049
38266,2890,151,124,21,22,13050
38267,2890,151,124,21,22,13051
38268,2890,151,124,21,22,13052
38269,2890,151,126,21,22,13053
38270,2890,151,126,21,22,13054
38271,2890,151,125,23,23,13055
38272,2890,151,125,23,23,13056
38273,2890,152,126,22,22,13057
38274,2890,152,126,22,22,13058
38275,2890,152,127,22,23,13059
38276,2890,152,127,22,23,13060
38277,2890,152,128,22,25,13061
38278,2890,152,128,22,25,13062
38279,2890,151,129,23,25,13063
38280,2890,151,129,23,25,13064
38281,2890,152,130,23,25,13065
38282,2890,152,130,23,25,13066
38283,2890,153,131,23,24,13067
38284,2890,153,131,23,24,13068
38285,2890,153,131,24,24,13069
38286,2890,153,131,24,24,13070
38287,2890,154,132,25,24,13071
38288,2890,155,132,25,23,13072
38289,2890,155,133,25,23,13073
38290,2890,155,133,25,23,13074
38291,2890,155,135,24,25,13075
38292,2890,155,135,24,25,13076
38293,2890,155,136,24,25,13077
38294,2890,155,136,24,25,13078
38295,2890,155,137,24,26,13079
38296,2890,155,137,24,26,13080
38297,2890,156,137,25,26,13081
38298,2890,156,137,25,26,13082
38299,2890,156,139,24,27,13083
38300,2890,156,139,24,27,13084
38301,2890,157,140,24,26,13085
38302,2890,157,140,24,26,13086
38303,2890,157,141,25,28,13087
38304,2890,157,141,25,28,13088
38305,2890,157,141,26,28,13089
38306,2890,157,141,26,28,13090
38307,2890,138,94,18,20,12961
38308,2890,138,95,17,20,12962
38309,2890,138,97,17,21,12967
38310,2890,138,97,17,21,12968
38311,2890,138,97,18,21,12969
38312,2890,138,97,18,21,12970
38313,2890,141,99,17,19,12971
38314,2890,141,99,17,19,12972
38315,2890,142,99,17,19,12975
38316,2890,142,99,17,19,12976
38317,2890,144,103,23,23,13005
38318,2890,144,103,23,23,13006
38319,2890,144,107,20,22,13007
38320,2890,144,107,20,22,13008
38321,2890,144,107,21,21,13009
38322,2890,144,107,21,21,13010
38323,2890,144,109,20,23,13011
38324,2890,144,109,20,23,13012
38325,2890,149,121,21,21,13041
38326,2890,149,121,21,21,13042
38327,2890,150,121,22,21,13043
38328,2890,150,121,22,21,13044
38329,2890,138,94,18,20,12961
38330,2890,138,95,17,20,12962
