,obj,x,y,height,width,frame
39056,7934,161,112,16,21,9207
39057,7934,161,112,16,21,9208
39058,7934,161,112,16,21,9209
39059,7934,161,112,16,21,9210
39060,7934,161,112,16,21,9211
39061,7934,161,112,16,21,9212
39062,7934,161,112,16,21,9213
39063,7934,160,112,16,23,9214
39064,7934,160,112,16,23,9215
39065,7934,160,113,16,22,9216
39066,7934,160,113,16,22,9217
39067,7934,160,113,16,22,9218
39068,7934,160,113,16,22,9219
39069,7934,160,113,16,23,9220
39070,7934,160,113,16,23,9221
39071,7934,159,113,16,24,9222
39072,7934,159,113,16,24,9223
39073,7934,159,113,16,24,9224
39074,7934,159,113,16,24,9225
39075,7934,159,113,16,24,9226
39076,7934,159,113,16,25,9227
39077,7934,159,113,16,25,9228
39078,7934,159,113,17,25,9229
39079,7934,159,113,17,25,9230
39080,7934,158,113,16,26,9231
39081,7934,158,113,16,26,9232
39082,7934,158,113,16,26,9233
39083,7934,158,113,16,26,9234
39084,7934,158,113,16,26,9235
39085,7934,158,113,16,26,9236
39086,7934,158,113,16,26,9237
39087,7934,158,113,16,25,9238
39088,7934,158,113,16,25,9239
39089,7934,158,113,16,26,9240
39090,7934,158,113,16,26,9241
39091,7934,158,113,16,26,9242
39092,7934,158,113,16,26,9243
39093,7934,158,113,16,26,9244
39094,7934,158,113,16,26,9245
39095,7934,158,112,17,26,9246
39096,7934,158,112,17,26,9247
39097,7934,158,112,17,26,9248
39098,7934,158,112,16,26,9249
39099,7934,158,112,16,26,9250
39100,7934,158,112,16,26,9251
39101,7934,158,112,16,26,9252
39102,7934,158,112,16,26,9253
39103,7934,157,112,16,27,9254
39104,7934,157,112,16,26,9255
39105,7934,157,112,16,26,9256
39106,7934,158,112,16,25,9257
39107,7934,159,112,16,24,9258
39108,7934,159,112,16,24,9259
39109,7934,158,112,16,24,9260
39110,7934,158,112,16,24,9261
39111,7934,158,112,16,24,9262
39112,7934,158,112,16,24,9263
39113,7934,159,112,16,24,9264
39114,7934,159,112,16,24,9265
39115,7934,158,112,16,24,9266
39116,7934,158,112,16,24,9267
39117,7934,158,112,16,24,9268
39118,7934,159,112,16,24,9269
39119,7934,159,112,16,24,9270
39120,7934,159,112,16,24,9271
39121,7934,159,112,16,24,9272
39122,7934,158,113,15,25,9273
39123,7934,158,113,15,25,9274
39124,7934,158,113,16,25,9275
39125,7934,158,113,16,25,9276
39126,7934,157,113,16,26,9277
39127,7934,157,113,16,26,9278
39128,7934,157,113,16,26,9279
39129,7934,157,113,16,25,9280
39130,7934,157,113,16,25,9281
39131,7934,157,113,17,25,9282
39132,7934,157,113,17,25,9283
39133,7934,158,113,17,25,9284
39134,7934,158,113,17,25,9285
39135,7934,158,113,17,25,9286
39136,7934,158,113,17,25,9287
39137,7934,157,113,17,26,9288
39138,7934,157,113,17,26,9289
39139,7934,157,113,17,25,9290
39140,7934,158,114,16,25,9291
39141,7934,158,114,16,25,9292
39142,7934,158,113,17,25,9293
39143,7934,158,113,17,25,9294
39144,7934,158,113,17,25,9295
39145,7934,158,113,17,25,9296
39146,7934,158,114,16,24,9297
39147,7934,158,113,17,24,9298
39148,7934,158,113,17,24,9299
39149,7934,158,113,17,24,9300
39150,7934,158,113,17,24,9301
39151,7934,158,113,17,25,9302
39152,7934,158,113,17,24,9303
39153,7934,158,113,17,24,9304
39154,7934,158,113,17,24,9305
39155,7934,158,113,16,24,9306
39156,7934,158,113,16,24,9307
39157,7934,158,113,16,24,9308
39158,7934,158,113,16,24,9309
39159,7934,159,113,16,24,9310
39160,7934,158,113,16,24,9311
39161,7934,158,113,16,24,9312
39162,7934,157,113,16,25,9313
39163,7934,157,113,16,25,9314
39164,7934,157,113,16,25,9315
39165,7934,157,113,16,25,9316
39166,7934,157,113,16,25,9317
39167,7934,157,113,16,25,9318
39168,7934,156,113,16,26,9319
39169,7934,156,113,16,26,9320
39170,7934,157,113,16,25,9321
39171,7934,157,113,16,26,9322
39172,7934,157,113,16,26,9323
39173,7934,157,113,16,26,9324
39174,7934,157,113,16,26,9325
39175,7934,157,113,16,26,9326
39176,7934,157,113,16,26,9327
39177,7934,157,113,17,26,9328
39178,7934,157,113,17,26,9329
39179,7934,158,113,17,25,9330
39180,7934,158,113,17,25,9331
39181,7934,158,113,17,25,9332
39182,7934,159,113,16,24,9333
39183,7934,159,113,16,24,9334
39184,7934,158,114,15,25,9335
39185,7934,159,114,15,24,9336
39186,7934,159,114,15,24,9337
39187,7934,159,114,15,24,9338
39188,7934,161,114,16,23,9339
39189,7934,161,113,17,23,9340
39190,7934,161,113,17,23,9341
39191,7934,161,113,17,23,9342
39192,7934,160,113,17,23,9343
39193,7934,161,113,17,22,9344
39194,7934,161,113,17,22,9345
39195,7934,160,113,17,23,9346
39196,7934,160,113,17,23,9347
39197,7934,161,113,17,23,9348
39198,7934,161,113,17,23,9349
39199,7934,160,113,16,23,9350
39200,7934,160,113,16,23,9351
39201,7934,161,113,16,21,9352
39202,7934,161,112,17,21,9353
39203,7934,161,112,17,21,9354
39204,7934,161,112,17,22,9355
39205,7934,161,112,17,22,9356
39206,7934,161,112,17,23,9357
39207,7934,161,112,17,23,9358
39208,7934,161,112,17,22,9359
39209,7934,161,112,17,22,9360
39210,7934,161,112,17,22,9361
39211,7934,161,112,16,22,9362
39212,7934,161,112,17,22,9363
39213,7934,161,113,16,23,9364
39214,7934,161,113,16,23,9365
39215,7934,161,112,17,23,9366
39216,7934,161,112,17,23,9367
39217,7934,161,112,16,22,9368
39218,7934,161,112,16,22,9369
39219,7934,161,112,16,22,9370
39220,7934,161,112,16,22,9371
39221,7934,161,112,16,22,9372
39222,7934,161,112,16,22,9373
39223,7934,161,112,16,21,9374
